timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 10:00:43.391, 44 %, 24 %, 48.30 W, 1063 MHz
2020/12/31 10:00:44.393, 100 %, 63 %, 119.81 W, 1063 MHz
2020/12/31 10:00:45.396, 100 %, 73 %, 119.04 W, 1063 MHz
2020/12/31 10:00:46.399, 21 %, 12 %, 48.39 W, 1063 MHz
2020/12/31 10:00:47.402, 100 %, 65 %, 122.87 W, 1063 MHz
2020/12/31 10:00:48.405, 100 %, 68 %, 113.30 W, 1063 MHz
2020/12/31 10:00:49.412, 0 %, 0 %, 48.29 W, 1063 MHz
2020/12/31 10:00:50.415, 100 %, 69 %, 118.37 W, 1063 MHz
2020/12/31 10:00:51.418, 100 %, 59 %, 113.85 W, 1063 MHz
2020/12/31 10:00:52.420, 0 %, 0 %, 48.39 W, 1063 MHz
2020/12/31 10:00:53.423, 100 %, 65 %, 119.52 W, 1063 MHz
2020/12/31 10:00:54.426, 100 %, 54 %, 111.44 W, 1063 MHz
2020/12/31 10:00:55.428, 0 %, 0 %, 48.30 W, 1063 MHz
